"idx","config_name","design_name","run_id","replicate","sim_seed","split_seed","N","G","lethal_prog","lethal_effect","nonlethal_effect","noise_sd_baseline","bump_sd","bump_mean"
1,"shared_baseline","default","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_rank_0_7_default_rep001",1,2024,4048,200,5000,NA,NA,NA,NA,NA,NA
2,"shared_baseline","default","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_rank_0_7_default_rep002",2,2025,4049,200,5000,NA,NA,NA,NA,NA,NA
3,"shared_baseline","default","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_rank_0_7_default_rep003",3,2026,4050,200,5000,NA,NA,NA,NA,NA,NA
4,"shared_baseline","default","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_rank_0_7_default_rep004",4,2027,4051,200,5000,NA,NA,NA,NA,NA,NA
5,"shared_baseline","default","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_rank_0_7_default_rep005",5,2028,4052,200,5000,NA,NA,NA,NA,NA,NA
6,"shared_baseline","large_cohort","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_400_K_4_lethal_prog_2_lethal_effect_2_rank_0_7_large_cohort_rep001",1,2024,4048,400,5000,2,2,NA,NA,NA,NA
7,"shared_baseline","large_cohort","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_400_K_4_lethal_prog_2_lethal_effect_2_rank_0_7_large_cohort_rep002",2,2025,4049,400,5000,2,2,NA,NA,NA,NA
8,"shared_baseline","large_cohort","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_400_K_4_lethal_prog_2_lethal_effect_2_rank_0_7_large_cohort_rep003",3,2026,4050,400,5000,2,2,NA,NA,NA,NA
9,"shared_baseline","large_cohort","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_400_K_4_lethal_prog_2_lethal_effect_2_rank_0_7_large_cohort_rep004",4,2027,4051,400,5000,2,2,NA,NA,NA,NA
10,"shared_baseline","large_cohort","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_400_K_4_lethal_prog_2_lethal_effect_2_rank_0_7_large_cohort_rep005",5,2028,4052,400,5000,2,2,NA,NA,NA,NA
11,"shared_baseline","noisy_programs","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_noise_sd_baseline_0_35_bump_sd_1_bump_mean_4_rank_0_7_noisy_programs_rep001",1,2024,4048,200,5000,NA,NA,NA,0.35,1,4
12,"shared_baseline","noisy_programs","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_noise_sd_baseline_0_35_bump_sd_1_bump_mean_4_rank_0_7_noisy_programs_rep002",2,2025,4049,200,5000,NA,NA,NA,0.35,1,4
13,"shared_baseline","noisy_programs","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_noise_sd_baseline_0_35_bump_sd_1_bump_mean_4_rank_0_7_noisy_programs_rep003",3,2026,4050,200,5000,NA,NA,NA,0.35,1,4
14,"shared_baseline","noisy_programs","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_noise_sd_baseline_0_35_bump_sd_1_bump_mean_4_rank_0_7_noisy_programs_rep004",4,2027,4051,200,5000,NA,NA,NA,0.35,1,4
15,"shared_baseline","noisy_programs","SIM_shared_baseline_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_noise_sd_baseline_0_35_bump_sd_1_bump_mean_4_rank_0_7_noisy_programs_rep005",5,2028,4052,200,5000,NA,NA,NA,0.35,1,4
16,"shared_baseline_alpha0","default","SIM_shared_baseline_alpha0_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_rank_0_7_default_rep001",1,2024,4048,200,5000,NA,NA,NA,NA,NA,NA
17,"shared_baseline_alpha0","default","SIM_shared_baseline_alpha0_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_rank_0_7_default_rep002",2,2025,4049,200,5000,NA,NA,NA,NA,NA,NA
18,"shared_baseline_alpha0","default","SIM_shared_baseline_alpha0_simulate_desurv_data_shared_baseline_G_5000_N_200_K_4_rank_0_7_default_rep003",3,2026,4050,200,5000,NA,NA,NA,NA,NA,NA
